"type","word1","word2","response","catch.trial.string","subj","exposures","coherence","trial"
"catch",NA,NA,3,"How much is five minus two?","s0379",392,"0/3",5
"cross","jiv","wug",2,"","s0379",392,"0/3",6
"within","pif","moke",4,"","s0379",392,"0/3",7
"cross","thite","wug",4,"","s0379",392,"0/3",8
"cross","dex","moke",2,"","s0379",392,"0/3",9
"cross","jiv","pif",4,"","s0379",392,"0/3",10
"cross","dex","wug",2,"","s0379",392,"0/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0379",392,"0/3",12
"cross","thite","pif",4,"","s0379",392,"0/3",13
"cross","jiv","moke",2,"","s0379",392,"0/3",14
"within","dex","thite",3,"","s0379",392,"0/3",15
"within","pif","wug",2,"","s0379",392,"0/3",16
"within","jiv","thite",2,"","s0379",392,"0/3",17
"within","thite","jiv",2,"","s0380",56,"1/3",1
"within","pif","wug",1,"","s0380",56,"1/3",2
"cross","dex","thite",2,"","s0380",56,"1/3",3
"cross","wug","moke",3,"","s0380",56,"1/3",4
"catch",NA,NA,3,"How much is five minus two?","s0380",56,"1/3",5
"cross","pif","jiv",3,"","s0380",56,"1/3",6
"within","moke","thite",1,"","s0380",56,"1/3",7
"cross","dex","jiv",3,"","s0380",56,"1/3",8
"cross","wug","thite",2,"","s0380",56,"1/3",9
"cross","pif","moke",2,"","s0380",56,"1/3",10
"cross","wug","jiv",2,"","s0380",56,"1/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0380",56,"1/3",12
"cross","dex","moke",2,"","s0380",56,"1/3",13
"cross","pif","thite",4,"","s0380",56,"1/3",14
"within","wug","dex",2,"","s0380",56,"1/3",15
"within","moke","jiv",2,"","s0380",56,"1/3",16
"within","pif","dex",3,"","s0380",56,"1/3",17
"within","thite","pif",4,"","s0381",126,"2/3",1
"within","dex","moke",2,"","s0381",126,"2/3",2
"cross","wug","thite",4,"","s0381",126,"2/3",3
"cross","moke","jiv",2,"","s0381",126,"2/3",4
"catch",NA,NA,3,"How much is five minus two?","s0381",126,"2/3",5
"cross","dex","pif",5,"","s0381",126,"2/3",6
"within","jiv","thite",2,"","s0381",126,"2/3",7
"cross","wug","pif",4,"","s0381",126,"2/3",8
"cross","moke","thite",2,"","s0381",126,"2/3",9
"cross","dex","jiv",2,"","s0381",126,"2/3",10
"cross","moke","pif",2,"","s0381",126,"2/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0381",126,"2/3",12
"cross","wug","jiv",4,"","s0381",126,"2/3",13
"cross","dex","thite",4,"","s0381",126,"2/3",14
"within","moke","wug",4,"","s0381",126,"2/3",15
"within","jiv","pif",2,"","s0381",126,"2/3",16
"within","dex","wug",2,"","s0381",126,"2/3",17
"within","jeev","moke",3,"","s0382",56,"syllables",1
"within","wug","dex",4,"","s0382",56,"syllables",2
"cross","pif","jeev",4,"","s0382",56,"syllables",3
"cross","dex","thite",3,"","s0382",56,"syllables",4
"catch",NA,NA,3,"How much is five minus two?","s0382",56,"syllables",5
"cross","wug","moke",2,"","s0382",56,"syllables",6
"within","thite","jeev",4,"","s0382",56,"syllables",7
"cross","pif","moke",4,"","s0382",56,"syllables",8
"cross","dex","jeev",2,"","s0382",56,"syllables",9
"cross","wug","thite",2,"","s0382",56,"syllables",10
"cross","dex","moke",2,"","s0382",56,"syllables",11
"catch",NA,NA,1,"How much is one plus zero?","s0382",56,"syllables",12
"cross","pif","thite",4,"","s0382",56,"syllables",13
"cross","wug","jeev",5,"","s0382",56,"syllables",14
"within","dex","pif",4,"","s0382",56,"syllables",15
"within","thite","moke",4,"","s0382",56,"syllables",16
"within","wug","pif",2,"","s0382",56,"syllables",17
"within","thite","jiv",2,"","s0383",196,"semantic.baseline",1
"within","wug","moke",3,"","s0383",196,"semantic.baseline",2
"cross","dex","thite",4,"","s0383",196,"semantic.baseline",3
"cross","moke","pif",4,"","s0383",196,"semantic.baseline",4
"catch",NA,NA,3,"How much is five minus two?","s0383",196,"semantic.baseline",5
"cross","wug","jiv",2,"","s0383",196,"semantic.baseline",6
"within","pif","thite",3,"","s0383",196,"semantic.baseline",7
"cross","dex","jiv",3,"","s0383",196,"semantic.baseline",8
"cross","moke","thite",4,"","s0383",196,"semantic.baseline",9
"cross","wug","pif",4,"","s0383",196,"semantic.baseline",10
"cross","moke","jiv",3,"","s0383",196,"semantic.baseline",11
"catch",NA,NA,1,"How much is one plus zero?","s0383",196,"semantic.baseline",12
"cross","dex","pif",3,"","s0383",196,"semantic.baseline",13
"cross","wug","thite",3,"","s0383",196,"semantic.baseline",14
"within","moke","dex",3,"","s0383",196,"semantic.baseline",15
"within","pif","jiv",4,"","s0383",196,"semantic.baseline",16
"within","wug","dex",4,"","s0383",196,"semantic.baseline",17
"within","dex","jiv",1,"","s0384",126,"0/3",1
"within","pif","thite",1,"","s0384",126,"0/3",2
"cross","moke","dex",1,"","s0384",126,"0/3",3
"cross","thite","wug",1,"","s0384",126,"0/3",4
"catch",NA,NA,3,"How much is five minus two?","s0384",126,"0/3",5
"cross","pif","jiv",4,"","s0384",126,"0/3",6
"within","wug","dex",1,"","s0384",126,"0/3",7
"cross","moke","jiv",1,"","s0384",126,"0/3",8
"cross","thite","dex",1,"","s0384",126,"0/3",9
"cross","pif","wug",1,"","s0384",126,"0/3",10
"cross","thite","jiv",1,"","s0384",126,"0/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0384",126,"0/3",12
"cross","moke","wug",1,"","s0384",126,"0/3",13
"cross","pif","dex",1,"","s0384",126,"0/3",14
"within","thite","moke",1,"","s0384",126,"0/3",15
"within","wug","jiv",1,"","s0384",126,"0/3",16
"within","pif","moke",1,"","s0384",126,"0/3",17
"within","jiv","moke",2,"","s0385",56,"semantic.baseline",1
"within","thite","dex",2,"","s0385",56,"semantic.baseline",2
"cross","pif","jiv",1,"","s0385",56,"semantic.baseline",3
"cross","dex","wug",2,"","s0385",56,"semantic.baseline",4
"catch",NA,NA,3,"How much is five minus two?","s0385",56,"semantic.baseline",5
"cross","thite","moke",2,"","s0385",56,"semantic.baseline",6
"within","wug","jiv",2,"","s0385",56,"semantic.baseline",7
"cross","pif","moke",3,"","s0385",56,"semantic.baseline",8
"cross","dex","jiv",4,"","s0385",56,"semantic.baseline",9
"cross","thite","wug",3,"","s0385",56,"semantic.baseline",10
"cross","dex","moke",5,"","s0385",56,"semantic.baseline",11
"catch",NA,NA,1,"How much is one plus zero?","s0385",56,"semantic.baseline",12
"cross","pif","wug",5,"","s0385",56,"semantic.baseline",13
"cross","thite","jiv",2,"","s0385",56,"semantic.baseline",14
"within","dex","pif",2,"","s0385",56,"semantic.baseline",15
"within","wug","moke",4,"","s0385",56,"semantic.baseline",16
"within","thite","pif",3,"","s0385",56,"semantic.baseline",17
"within","pif","wug",1,"","s0386",56,"3/3",1
"within","moke","jeev",1,"","s0386",56,"3/3",2
"cross","dex","pif",2,"","s0386",56,"3/3",3
"cross","jeev","thite",1,"","s0386",56,"3/3",4
"catch",NA,NA,3,"How much is five minus two?","s0386",56,"3/3",5
"cross","moke","wug",2,"","s0386",56,"3/3",6
"within","thite","pif",1,"","s0386",56,"3/3",7
"cross","dex","wug",2,"","s0386",56,"3/3",8
"cross","jeev","pif",3,"","s0386",56,"3/3",9
"cross","moke","thite",1,"","s0386",56,"3/3",10
"cross","jeev","wug",1,"","s0386",56,"3/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0386",56,"3/3",12
"cross","dex","thite",1,"","s0386",56,"3/3",13
"cross","moke","pif",1,"","s0386",56,"3/3",14
"within","jeev","dex",1,"","s0386",56,"3/3",15
"within","thite","wug",2,"","s0386",56,"3/3",16
"within","moke","dex",1,"","s0386",56,"3/3",17
"within","wug","jeev",2,"","s0387",56,"nonce.connective",1
"within","moke","thite",2,"","s0387",56,"nonce.connective",2
"cross","pif","wug",1,"","s0387",56,"nonce.connective",3
"cross","thite","dex",3,"","s0387",56,"nonce.connective",4
"catch",NA,NA,3,"How much is five minus two?","s0387",56,"nonce.connective",5
"cross","moke","jeev",2,"","s0387",56,"nonce.connective",6
"within","dex","wug",3,"","s0387",56,"nonce.connective",7
"cross","pif","jeev",4,"","s0387",56,"nonce.connective",8
"cross","thite","wug",3,"","s0387",56,"nonce.connective",9
"cross","moke","dex",2,"","s0387",56,"nonce.connective",10
"cross","thite","jeev",2,"","s0387",56,"nonce.connective",11
"catch",NA,NA,1,"How much is one plus zero?","s0387",56,"nonce.connective",12
"cross","pif","dex",2,"","s0387",56,"nonce.connective",13
"cross","moke","wug",3,"","s0387",56,"nonce.connective",14
"within","thite","pif",4,"","s0387",56,"nonce.connective",15
"within","dex","jeev",3,"","s0387",56,"nonce.connective",16
"within","moke","pif",2,"","s0387",56,"nonce.connective",17
"within","wug","thite",2,"","s0388",392,"3/3",1
"within","pif","dex",2,"","s0388",392,"3/3",2
"cross","moke","wug",4,"","s0388",392,"3/3",3
"cross","dex","jiv",2,"","s0388",392,"3/3",4
"catch",NA,NA,3,"How much is five minus two?","s0388",392,"3/3",5
"cross","pif","thite",3,"","s0388",392,"3/3",6
"within","jiv","wug",2,"","s0388",392,"3/3",7
"cross","moke","thite",2,"","s0388",392,"3/3",8
"cross","dex","wug",2,"","s0388",392,"3/3",9
"cross","pif","jiv",2,"","s0388",392,"3/3",10
"cross","dex","thite",2,"","s0388",392,"3/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0388",392,"3/3",12
"cross","moke","jiv",2,"","s0388",392,"3/3",13
"cross","pif","wug",2,"","s0388",392,"3/3",14
"within","dex","moke",2,"","s0388",392,"3/3",15
"within","jiv","thite",3,"","s0388",392,"3/3",16
"within","pif","moke",2,"","s0388",392,"3/3",17
"within","pif","moke",1,"","s0389",56,"nonce.connective",1
"within","wug","dex",2,"","s0389",56,"nonce.connective",2
"cross","thite","pif",4,"","s0389",56,"nonce.connective",3
"cross","dex","jeev",2,"","s0389",56,"nonce.connective",4
"catch",NA,NA,1,"How much is five minus two?","s0389",56,"nonce.connective",5
"cross","wug","moke",1,"","s0389",56,"nonce.connective",6
"within","jeev","pif",3,"","s0389",56,"nonce.connective",7
"cross","thite","moke",5,"","s0389",56,"nonce.connective",8
"cross","dex","pif",1,"","s0389",56,"nonce.connective",9
"cross","wug","jeev",5,"","s0389",56,"nonce.connective",10
"cross","dex","moke",5,"","s0389",56,"nonce.connective",11
"catch",NA,NA,1,"How much is one plus zero?","s0389",56,"nonce.connective",12
"cross","thite","jeev",5,"","s0389",56,"nonce.connective",13
"cross","wug","pif",5,"","s0389",56,"nonce.connective",14
"within","dex","thite",1,"","s0389",56,"nonce.connective",15
"within","jeev","moke",1,"","s0389",56,"nonce.connective",16
"within","wug","thite",5,"","s0389",56,"nonce.connective",17
"within","thite","wug",2,"","s0390",392,"onset",1
"within","pif","dex",3,"","s0390",392,"onset",2
"cross","jiv","thite",3,"","s0390",392,"onset",3
"cross","dex","moke",4,"","s0390",392,"onset",4
"catch",NA,NA,3,"How much is five minus two?","s0390",392,"onset",5
"cross","pif","wug",2,"","s0390",392,"onset",6
"within","moke","thite",4,"","s0390",392,"onset",7
"cross","jiv","wug",3,"","s0390",392,"onset",8
"cross","dex","thite",2,"","s0390",392,"onset",9
"cross","pif","moke",4,"","s0390",392,"onset",10
"cross","dex","wug",4,"","s0390",392,"onset",11
"catch",NA,NA,1,"How much is one plus zero?","s0390",392,"onset",12
"cross","jiv","moke",2,"","s0390",392,"onset",13
"cross","pif","thite",3,"","s0390",392,"onset",14
"within","dex","jiv",3,"","s0390",392,"onset",15
"within","moke","wug",3,"","s0390",392,"onset",16
"within","pif","jiv",4,"","s0390",392,"onset",17
"within","pif","moke",4,"","s0391",126,"semantic.baseline",1
"within","jiv","wug",2,"","s0391",126,"semantic.baseline",2
"cross","dex","pif",1,"","s0391",126,"semantic.baseline",3
"cross","wug","thite",1,"","s0391",126,"semantic.baseline",4
"catch",NA,NA,3,"How much is five minus two?","s0391",126,"semantic.baseline",5
"cross","jiv","moke",1,"","s0391",126,"semantic.baseline",6
"within","thite","pif",2,"","s0391",126,"semantic.baseline",7
"cross","dex","moke",1,"","s0391",126,"semantic.baseline",8
"cross","wug","pif",2,"","s0391",126,"semantic.baseline",9
"cross","jiv","thite",2,"","s0391",126,"semantic.baseline",10
"cross","wug","moke",2,"","s0391",126,"semantic.baseline",11
"catch",NA,NA,1,"How much is one plus zero?","s0391",126,"semantic.baseline",12
"cross","dex","thite",3,"","s0391",126,"semantic.baseline",13
"cross","jiv","pif",2,"","s0391",126,"semantic.baseline",14
"within","wug","dex",4,"","s0391",126,"semantic.baseline",15
"within","thite","moke",5,"","s0391",126,"semantic.baseline",16
"within","jiv","dex",3,"","s0391",126,"semantic.baseline",17
"within","jiv","pif",1,"","s0392",56,"1/3",1
"within","moke","dex",1,"","s0392",56,"1/3",2
"cross","wug","jiv",4,"","s0392",56,"1/3",3
"cross","dex","thite",4,"","s0392",56,"1/3",4
"catch",NA,NA,3,"How much is five minus two?","s0392",56,"1/3",5
"cross","moke","pif",4,"","s0392",56,"1/3",6
"within","thite","jiv",4,"","s0392",56,"1/3",7
"cross","wug","pif",2,"","s0392",56,"1/3",8
"cross","dex","jiv",3,"","s0392",56,"1/3",9
"cross","moke","thite",1,"","s0392",56,"1/3",10
"cross","dex","pif",1,"","s0392",56,"1/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0392",56,"1/3",12
"cross","wug","thite",1,"","s0392",56,"1/3",13
"cross","moke","jiv",2,"","s0392",56,"1/3",14
"within","dex","wug",3,"","s0392",56,"1/3",15
"within","thite","pif",2,"","s0392",56,"1/3",16
"within","moke","wug",4,"","s0392",56,"1/3",17
"within","dex","jiv",2,"","s0393",56,"semantic.baseline",1
"within","pif","wug",3,"","s0393",56,"semantic.baseline",2
"cross","moke","dex",3,"","s0393",56,"semantic.baseline",3
"cross","wug","thite",2,"","s0393",56,"semantic.baseline",4
"catch",NA,NA,3,"How much is five minus two?","s0393",56,"semantic.baseline",5
"cross","pif","jiv",4,"","s0393",56,"semantic.baseline",6
"within","thite","dex",4,"","s0393",56,"semantic.baseline",7
"cross","moke","jiv",2,"","s0393",56,"semantic.baseline",8
"cross","wug","dex",3,"","s0393",56,"semantic.baseline",9
"cross","pif","thite",2,"","s0393",56,"semantic.baseline",10
"cross","wug","jiv",4,"","s0393",56,"semantic.baseline",11
"catch",NA,NA,1,"How much is one plus zero?","s0393",56,"semantic.baseline",12
"cross","moke","thite",3,"","s0393",56,"semantic.baseline",13
"cross","pif","dex",4,"","s0393",56,"semantic.baseline",14
"within","wug","moke",3,"","s0393",56,"semantic.baseline",15
"within","thite","jiv",4,"","s0393",56,"semantic.baseline",16
"within","pif","moke",4,"","s0393",56,"semantic.baseline",17
"within","moke","pif",4,"","s0394",196,"3/3",1
"within","wug","jeev",3,"","s0394",196,"3/3",2
"cross","dex","moke",3,"","s0394",196,"3/3",3
"cross","jeev","thite",1,"","s0394",196,"3/3",4
"catch",NA,NA,3,"How much is five minus two?","s0394",196,"3/3",5
"cross","wug","pif",4,"","s0394",196,"3/3",6
"within","thite","moke",1,"","s0394",196,"3/3",7
"cross","dex","pif",3,"","s0394",196,"3/3",8
"cross","jeev","moke",4,"","s0394",196,"3/3",9
"cross","wug","thite",1,"","s0394",196,"3/3",10
"cross","jeev","pif",2,"","s0394",196,"3/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0394",196,"3/3",12
"cross","dex","thite",1,"","s0394",196,"3/3",13
"cross","wug","moke",4,"","s0394",196,"3/3",14
"within","jeev","dex",3,"","s0394",196,"3/3",15
"within","thite","pif",1,"","s0394",196,"3/3",16
"within","wug","dex",4,"","s0394",196,"3/3",17
"within","thite","pif",3,"","s0395",196,"1/3",1
"within","jiv","dex",3,"","s0395",196,"1/3",2
"cross","wug","thite",3,"","s0395",196,"1/3",3
"cross","dex","moke",3,"","s0395",196,"1/3",4
"catch",NA,NA,3,"How much is five minus two?","s0395",196,"1/3",5
"cross","jiv","pif",3,"","s0395",196,"1/3",6
"within","moke","thite",3,"","s0395",196,"1/3",7
"cross","wug","pif",3,"","s0395",196,"1/3",8
"cross","dex","thite",3,"","s0395",196,"1/3",9
"cross","jiv","moke",3,"","s0395",196,"1/3",10
"cross","dex","pif",3,"","s0395",196,"1/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0395",196,"1/3",12
"cross","wug","moke",3,"","s0395",196,"1/3",13
"cross","jiv","thite",4,"","s0395",196,"1/3",14
"within","dex","wug",4,"","s0395",196,"1/3",15
"within","moke","pif",4,"","s0395",196,"1/3",16
"within","jiv","wug",3,"","s0395",196,"1/3",17
"within","pif","thite",2,"","s0396",56,"2/3",1
"within","dex","moke",4,"","s0396",56,"2/3",2
"cross","wug","pif",1,"","s0396",56,"2/3",3
"cross","moke","jiv",2,"","s0396",56,"2/3",4
"catch",NA,NA,3,"How much is five minus two?","s0396",56,"2/3",5
"cross","dex","thite",2,"","s0396",56,"2/3",6
"within","jiv","pif",4,"","s0396",56,"2/3",7
"cross","wug","thite",3,"","s0396",56,"2/3",8
"cross","moke","pif",5,"","s0396",56,"2/3",9
"cross","dex","jiv",2,"","s0396",56,"2/3",10
"cross","moke","thite",3,"","s0396",56,"2/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0396",56,"2/3",12
"cross","wug","jiv",2,"","s0396",56,"2/3",13
"cross","dex","pif",4,"","s0396",56,"2/3",14
"within","moke","wug",5,"","s0396",56,"2/3",15
"within","jiv","thite",2,"","s0396",56,"2/3",16
"within","dex","wug",3,"","s0396",56,"2/3",17
"within","dex","wug",2,"","s0397",392,"1/3",1
"within","moke","thite",3,"","s0397",392,"1/3",2
"cross","pif","dex",3,"","s0397",392,"1/3",3
"cross","thite","jiv",4,"","s0397",392,"1/3",4
"catch",NA,NA,3,"How much is five minus two?","s0397",392,"1/3",5
"cross","moke","wug",5,"","s0397",392,"1/3",6
"within","jiv","dex",4,"","s0397",392,"1/3",7
"cross","pif","wug",5,"","s0397",392,"1/3",8
"cross","thite","dex",3,"","s0397",392,"1/3",9
"cross","moke","jiv",5,"","s0397",392,"1/3",10
"cross","thite","wug",5,"","s0397",392,"1/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0397",392,"1/3",12
"cross","pif","jiv",5,"","s0397",392,"1/3",13
"cross","moke","dex",2,"","s0397",392,"1/3",14
"within","thite","pif",4,"","s0397",392,"1/3",15
"within","jiv","wug",3,"","s0397",392,"1/3",16
"within","moke","pif",3,"","s0397",392,"1/3",17
"within","dex","thite",1,"","s0398",196,"0/3",1
"within","jeev","pif",4,"","s0398",196,"0/3",2
"cross","wug","dex",3,"","s0398",196,"0/3",3
"cross","pif","moke",4,"","s0398",196,"0/3",4
"catch",NA,NA,3,"How much is five minus two?","s0398",196,"0/3",5
"cross","jeev","thite",2,"","s0398",196,"0/3",6
"within","moke","dex",5,"","s0398",196,"0/3",7
"cross","wug","thite",5,"","s0398",196,"0/3",8
"cross","pif","dex",4,"","s0398",196,"0/3",9
"cross","jeev","moke",5,"","s0398",196,"0/3",10
"cross","pif","thite",3,"","s0398",196,"0/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0398",196,"0/3",12
"cross","wug","moke",4,"","s0398",196,"0/3",13
"cross","jeev","dex",5,"","s0398",196,"0/3",14
"within","pif","wug",2,"","s0398",196,"0/3",15
"within","moke","thite",2,"","s0398",196,"0/3",16
"within","jeev","wug",4,"","s0398",196,"0/3",17
"within","jiv","wug",1,"","s0399",126,"semantic.baseline",1
"within","thite","dex",1,"","s0399",126,"semantic.baseline",2
"cross","moke","jiv",1,"","s0399",126,"semantic.baseline",3
"cross","dex","pif",1,"","s0399",126,"semantic.baseline",4
"catch",NA,NA,3,"How much is five minus two?","s0399",126,"semantic.baseline",5
"cross","thite","wug",1,"","s0399",126,"semantic.baseline",6
"within","pif","jiv",4,"","s0399",126,"semantic.baseline",7
"cross","moke","wug",2,"","s0399",126,"semantic.baseline",8
"cross","dex","jiv",1,"","s0399",126,"semantic.baseline",9
"cross","thite","pif",1,"","s0399",126,"semantic.baseline",10
"cross","dex","wug",1,"","s0399",126,"semantic.baseline",11
"catch",NA,NA,1,"How much is one plus zero?","s0399",126,"semantic.baseline",12
"cross","moke","pif",1,"","s0399",126,"semantic.baseline",13
"cross","thite","jiv",1,"","s0399",126,"semantic.baseline",14
"within","dex","moke",1,"","s0399",126,"semantic.baseline",15
"within","pif","wug",1,"","s0399",126,"semantic.baseline",16
"within","thite","moke",1,"","s0399",126,"semantic.baseline",17
"within","moke","thite",1,"","s0400",196,"1/3",1
"within","dex","wug",3,"","s0400",196,"1/3",2
"cross","pif","moke",2,"","s0400",196,"1/3",3
"cross","wug","jiv",1,"","s0400",196,"1/3",4
"catch",NA,NA,3,"How much is five minus two?","s0400",196,"1/3",5
"cross","dex","thite",2,"","s0400",196,"1/3",6
"within","jiv","moke",3,"","s0400",196,"1/3",7
"cross","pif","thite",1,"","s0400",196,"1/3",8
"cross","wug","moke",3,"","s0400",196,"1/3",9
"cross","dex","jiv",2,"","s0400",196,"1/3",10
"cross","wug","thite",3,"","s0400",196,"1/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0400",196,"1/3",12
"cross","pif","jiv",4,"","s0400",196,"1/3",13
"cross","dex","moke",1,"","s0400",196,"1/3",14
"within","wug","pif",3,"","s0400",196,"1/3",15
"within","jiv","thite",2,"","s0400",196,"1/3",16
"within","dex","pif",3,"","s0400",196,"1/3",17
"within","thite","dex",3,"","s0401",56,"rime",1
"within","moke","jeev",5,"","s0401",56,"rime",2
"cross","wug","thite",1,"","s0401",56,"rime",3
"cross","jeev","pif",2,"","s0401",56,"rime",4
"catch",NA,NA,3,"How much is five minus two?","s0401",56,"rime",5
"cross","moke","dex",5,"","s0401",56,"rime",6
"within","pif","thite",5,"","s0401",56,"rime",7
"cross","wug","dex",1,"","s0401",56,"rime",8
"cross","jeev","thite",4,"","s0401",56,"rime",9
"cross","moke","pif",1,"","s0401",56,"rime",10
"cross","jeev","dex",5,"","s0401",56,"rime",11
"catch",NA,NA,1,"How much is one plus zero?","s0401",56,"rime",12
"cross","wug","pif",2,"","s0401",56,"rime",13
"cross","moke","thite",4,"","s0401",56,"rime",14
"within","jeev","wug",1,"","s0401",56,"rime",15
"within","pif","dex",5,"","s0401",56,"rime",16
"within","moke","wug",1,"","s0401",56,"rime",17
"within","dex","moke",5,"","s0402",56,"syllables",1
"within","jeev","thite",4,"","s0402",56,"syllables",2
"cross","pif","dex",3,"","s0402",56,"syllables",3
"cross","thite","wug",4,"","s0402",56,"syllables",4
"catch",NA,NA,4,"How much is five minus two?","s0402",56,"syllables",5
"cross","jeev","moke",2,"","s0402",56,"syllables",6
"within","wug","dex",3,"","s0402",56,"syllables",7
"cross","pif","moke",2,"","s0402",56,"syllables",8
"cross","thite","dex",1,"","s0402",56,"syllables",9
"cross","jeev","wug",3,"","s0402",56,"syllables",10
"cross","thite","moke",2,"","s0402",56,"syllables",11
"catch",NA,NA,4,"How much is one plus zero?","s0402",56,"syllables",12
"cross","pif","wug",3,"","s0402",56,"syllables",13
"cross","jeev","dex",2,"","s0402",56,"syllables",14
"within","thite","pif",4,"","s0402",56,"syllables",15
"within","wug","moke",3,"","s0402",56,"syllables",16
"within","jeev","pif",2,"","s0402",56,"syllables",17
"within","dex","pif",1,"","s0403",126,"0/3",1
"within","moke","wug",3,"","s0403",126,"0/3",2
"cross","thite","dex",4,"","s0403",126,"0/3",3
"cross","wug","jiv",2,"","s0403",126,"0/3",4
"catch",NA,NA,3,"How much is five minus two?","s0403",126,"0/3",5
"cross","moke","pif",3,"","s0403",126,"0/3",6
"within","jiv","dex",4,"","s0403",126,"0/3",7
"cross","thite","pif",2,"","s0403",126,"0/3",8
"cross","wug","dex",4,"","s0403",126,"0/3",9
"cross","moke","jiv",2,"","s0403",126,"0/3",10
"cross","wug","pif",4,"","s0403",126,"0/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0403",126,"0/3",12
"cross","thite","jiv",2,"","s0403",126,"0/3",13
"cross","moke","dex",3,"","s0403",126,"0/3",14
"within","wug","thite",2,"","s0403",126,"0/3",15
"within","jiv","pif",5,"","s0403",126,"0/3",16
"within","moke","thite",4,"","s0403",126,"0/3",17
"within","thite","moke",4,"","s0404",56,"0/3",1
"within","wug","jeev",3,"","s0404",56,"0/3",2
"cross","pif","thite",1,"","s0404",56,"0/3",3
"cross","jeev","dex",1,"","s0404",56,"0/3",4
"catch",NA,NA,3,"How much is five minus two?","s0404",56,"0/3",5
"cross","wug","moke",1,"","s0404",56,"0/3",6
"within","dex","thite",5,"","s0404",56,"0/3",7
"cross","pif","moke",1,"","s0404",56,"0/3",8
"cross","jeev","thite",1,"","s0404",56,"0/3",9
"cross","wug","dex",1,"","s0404",56,"0/3",10
"cross","jeev","moke",1,"","s0404",56,"0/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0404",56,"0/3",12
"cross","pif","dex",1,"","s0404",56,"0/3",13
"cross","wug","thite",1,"","s0404",56,"0/3",14
"within","jeev","pif",5,"","s0404",56,"0/3",15
"within","dex","moke",5,"","s0404",56,"0/3",16
"within","wug","pif",5,"","s0404",56,"0/3",17
"within","thite","dex",1,"","s0405",56,"0/3",1
"within","moke","wug",1,"","s0405",56,"0/3",2
"cross","pif","thite",2,"","s0405",56,"0/3",3
"cross","wug","jeev",1,"","s0405",56,"0/3",4
"catch",NA,NA,3,"How much is five minus two?","s0405",56,"0/3",5
"cross","moke","dex",1,"","s0405",56,"0/3",6
"within","jeev","thite",1,"","s0405",56,"0/3",7
"cross","pif","dex",1,"","s0405",56,"0/3",8
"cross","wug","thite",1,"","s0405",56,"0/3",9
"cross","moke","jeev",1,"","s0405",56,"0/3",10
"cross","wug","dex",1,"","s0405",56,"0/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0405",56,"0/3",12
"cross","pif","jeev",1,"","s0405",56,"0/3",13
"cross","moke","thite",1,"","s0405",56,"0/3",14
"within","wug","pif",1,"","s0405",56,"0/3",15
"within","jeev","dex",1,"","s0405",56,"0/3",16
"within","moke","pif",1,"","s0405",56,"0/3",17
"within","thite","pif",4,"","s0406",392,"1/3",1
"within","moke","dex",4,"","s0406",392,"1/3",2
"cross","jiv","thite",2,"","s0406",392,"1/3",3
"cross","dex","wug",2,"","s0406",392,"1/3",4
"catch",NA,NA,3,"How much is five minus two?","s0406",392,"1/3",5
"cross","moke","pif",3,"","s0406",392,"1/3",6
"within","wug","thite",5,"","s0406",392,"1/3",7
"cross","jiv","pif",3,"","s0406",392,"1/3",8
"cross","dex","thite",2,"","s0406",392,"1/3",9
"cross","moke","wug",4,"","s0406",392,"1/3",10
"cross","dex","pif",4,"","s0406",392,"1/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0406",392,"1/3",12
"cross","jiv","wug",2,"","s0406",392,"1/3",13
"cross","moke","thite",3,"","s0406",392,"1/3",14
"within","dex","jiv",4,"","s0406",392,"1/3",15
"within","wug","pif",4,"","s0406",392,"1/3",16
"within","moke","jiv",4,"","s0406",392,"1/3",17
"within","jiv","wug",2,"","s0407",56,"onset",1
"within","pif","moke",4,"","s0407",56,"onset",2
"cross","dex","jiv",2,"","s0407",56,"onset",3
"cross","moke","thite",1,"","s0407",56,"onset",4
"catch",NA,NA,3,"How much is five minus two?","s0407",56,"onset",5
"cross","pif","wug",4,"","s0407",56,"onset",6
"within","thite","jiv",1,"","s0407",56,"onset",7
"cross","dex","wug",1,"","s0407",56,"onset",8
"cross","moke","jiv",2,"","s0407",56,"onset",9
"cross","pif","thite",3,"","s0407",56,"onset",10
"cross","moke","wug",1,"","s0407",56,"onset",11
"catch",NA,NA,1,"How much is one plus zero?","s0407",56,"onset",12
"cross","dex","thite",2,"","s0407",56,"onset",13
