"animal","vehicle","animalFirst","cluster","response","match","subj","exposures","coherence","word"
"horse","motorcycle",0,"t1","motorcycle",0,"s0458",392,"onset","wug"
"mouse","plane",0,"t1","plane",0,"s0459",56,"1/3","dex"
"rabbit","boat",1,"t1","boat",0,"s0459",56,"1/3","thite"
"bear","train",1,"t2","bear",0,"s0459",56,"1/3","wug"
"horse","van",1,"t2","van",1,"s0459",56,"1/3","moke"
"sheep","motorcycle",0,"t1","sheep",1,"s0459",56,"1/3","pif"
"goldfish","bicycle",0,"t2","goldfish",0,"s0459",56,"1/3","jiv"
"horse","motorcycle",0,"t1","horse",1,"s0460",56,"onset","wug"
"goldfish","plane",1,"t2","goldfish",0,"s0460",56,"onset","pif"
"bear","bicycle",0,"t1","bicycle",0,"s0460",56,"onset","jiv"
"rabbit","train",1,"t1","rabbit",1,"s0460",56,"onset","thite"
"mouse","boat",1,"t2","mouse",0,"s0460",56,"onset","moke"
"sheep","van",0,"t2","sheep",0,"s0460",56,"onset","dex"
"bear","motorcycle",0,"t2","motorcycle",1,"s0461",392,"nonce.connective","wug"
"goldfish","bicycle",1,"t2","bicycle",1,"s0461",392,"nonce.connective","dex"
"rabbit","plane",0,"t1","plane",0,"s0461",392,"nonce.connective","moke"
"horse","train",1,"t2","horse",0,"s0461",392,"nonce.connective","pif"
"sheep","boat",1,"t1","boat",0,"s0461",392,"nonce.connective","jeev"
"mouse","van",0,"t1","van",0,"s0461",392,"nonce.connective","thite"
"sheep","boat",1,"t1","sheep",1,"s0462",392,"semantic.baseline","dex"
"horse","plane",0,"t2","horse",0,"s0462",392,"semantic.baseline","wug"
"goldfish","bicycle",0,"t2","goldfish",0,"s0462",392,"semantic.baseline","moke"
"bear","train",0,"t1","bear",1,"s0462",392,"semantic.baseline","jiv"
"mouse","van",1,"t2","mouse",0,"s0462",392,"semantic.baseline","pif"
"rabbit","motorcycle",1,"t1","rabbit",1,"s0462",392,"semantic.baseline","thite"
"mouse","van",0,"t2","van",1,"s0463",56,"0/3","thite"
"bear","train",1,"t1","bear",1,"s0463",56,"0/3","pif"
"goldfish","plane",0,"t1","goldfish",1,"s0463",56,"0/3","moke"
"sheep","motorcycle",1,"t2","motorcycle",1,"s0463",56,"0/3","dex"
"horse","bicycle",0,"t2","bicycle",1,"s0463",56,"0/3","jeev"
"rabbit","boat",1,"t1","rabbit",1,"s0463",56,"0/3","wug"
"mouse","bicycle",1,"t2","mouse",0,"s0464",126,"1/3","wug"
"sheep","train",0,"t2","train",1,"s0464",126,"1/3","jiv"
"rabbit","van",1,"t1","van",0,"s0464",126,"1/3","moke"
"bear","plane",0,"t2","plane",1,"s0464",126,"1/3","thite"
"horse","motorcycle",1,"t1","horse",1,"s0464",126,"1/3","pif"
"goldfish","boat",0,"t1","goldfish",1,"s0464",126,"1/3","dex"
"bear","motorcycle",0,"t1","bear",1,"s0465",126,"3/3","dex"
"horse","plane",1,"t2","horse",0,"s0465",126,"3/3","thite"
"mouse","bicycle",1,"t1","mouse",1,"s0465",126,"3/3","jiv"
"sheep","train",0,"t2","sheep",0,"s0465",126,"3/3","pif"
"rabbit","van",0,"t1","rabbit",1,"s0465",126,"3/3","wug"
"goldfish","boat",1,"t2","goldfish",0,"s0465",126,"3/3","moke"
"mouse","train",0,"t2","mouse",0,"s0466",392,"2/3","wug"
"rabbit","bicycle",1,"t2","bicycle",1,"s0466",392,"2/3","thite"
"goldfish","van",1,"t2","van",1,"s0466",392,"2/3","jiv"
"bear","boat",0,"t1","bear",1,"s0466",392,"2/3","dex"
"horse","motorcycle",0,"t1","motorcycle",0,"s0466",392,"2/3","pif"
"sheep","plane",1,"t1","sheep",1,"s0466",392,"2/3","moke"
"horse","bicycle",0,"t1","horse",1,"s0467",196,"1/3","jiv"
"mouse","boat",1,"t2","boat",1,"s0467",196,"1/3","pif"
"rabbit","motorcycle",0,"t2","motorcycle",1,"s0467",196,"1/3","moke"
"sheep","van",0,"t1","van",0,"s0467",196,"1/3","wug"
"bear","plane",1,"t1","bear",1,"s0467",196,"1/3","dex"
"goldfish","train",1,"t2","goldfish",0,"s0467",196,"1/3","thite"
"rabbit","motorcycle",1,"t2","motorcycle",1,"s0468",392,"syllables","pif"
"horse","van",0,"t1","horse",1,"s0468",392,"syllables","thite"
"bear","train",1,"t1","bear",1,"s0468",392,"syllables","jeev"
"mouse","plane",1,"t1","mouse",1,"s0468",392,"syllables","wug"
"goldfish","boat",0,"t2","boat",1,"s0468",392,"syllables","dex"
"sheep","bicycle",0,"t2","bicycle",1,"s0468",392,"syllables","moke"
"rabbit","plane",0,"t1","plane",0,"s0469",56,"onset","thite"
"mouse","bicycle",1,"t1","bicycle",0,"s0469",56,"onset","dex"
"sheep","boat",0,"t2","sheep",0,"s0469",56,"onset","wug"
"goldfish","van",1,"t2","van",1,"s0469",56,"onset","moke"
"bear","train",0,"t2","train",1,"s0469",56,"onset","pif"
"horse","motorcycle",1,"t1","motorcycle",0,"s0469",56,"onset","jiv"
"rabbit","motorcycle",0,"t2","motorcycle",1,"s0470",392,"1/3","wug"
"horse","train",0,"t1","train",0,"s0470",392,"1/3","thite"
"bear","plane",0,"t1","bear",1,"s0470",392,"1/3","moke"
"sheep","boat",1,"t2","boat",1,"s0470",392,"1/3","dex"
"goldfish","bicycle",1,"t2","goldfish",0,"s0470",392,"1/3","pif"
"mouse","van",1,"t1","mouse",1,"s0470",392,"1/3","jiv"
"sheep","plane",0,"t1","plane",0,"s0471",56,"nonce.connective","dex"
"bear","train",1,"t1","train",0,"s0471",56,"nonce.connective","jeev"
"rabbit","van",0,"t2","van",1,"s0471",56,"nonce.connective","thite"
"goldfish","motorcycle",1,"t2","goldfish",0,"s0471",56,"nonce.connective","wug"
"mouse","boat",0,"t2","mouse",0,"s0471",56,"nonce.connective","pif"
"horse","bicycle",1,"t1","bicycle",0,"s0471",56,"nonce.connective","moke"
"horse","bicycle",1,"t2","horse",0,"s0472",196,"onset","thite"
"bear","train",1,"t1","bear",1,"s0472",196,"onset","moke"
"rabbit","van",0,"t2","rabbit",0,"s0472",196,"onset","jiv"
"mouse","boat",0,"t1","boat",0,"s0472",196,"onset","dex"
"goldfish","plane",0,"t1","plane",0,"s0472",196,"onset","wug"
"sheep","motorcycle",1,"t2","motorcycle",1,"s0472",196,"onset","pif"
"sheep","train",1,"t1","train",0,"s0473",196,"2/3","moke"
"horse","plane",0,"t1","plane",0,"s0473",196,"2/3","pif"
"mouse","van",0,"t1","mouse",1,"s0473",196,"2/3","wug"
"rabbit","boat",1,"t2","rabbit",0,"s0473",196,"2/3","thite"
"goldfish","bicycle",1,"t2","bicycle",1,"s0473",196,"2/3","dex"
"bear","motorcycle",0,"t2","bear",0,"s0473",196,"2/3","jiv"
"sheep","van",0,"t2","sheep",0,"s0474",196,"syllables","jeev"
"bear","train",0,"t2","train",1,"s0474",196,"syllables","dex"
"goldfish","plane",1,"t1","goldfish",1,"s0474",196,"syllables","pif"
"horse","boat",0,"t1","horse",1,"s0474",196,"syllables","moke"
"rabbit","bicycle",1,"t2","bicycle",1,"s0474",196,"syllables","thite"
"mouse","motorcycle",1,"t1","mouse",1,"s0474",196,"syllables","wug"
"sheep","plane",1,"t1","plane",0,"s0475",392,"onset","wug"
"mouse","train",1,"t1","mouse",1,"s0475",392,"onset","thite"
"rabbit","bicycle",1,"t1","bicycle",0,"s0475",392,"onset","jiv"
"goldfish","motorcycle",0,"t2","goldfish",0,"s0475",392,"onset","moke"
"bear","boat",0,"t2","boat",1,"s0475",392,"onset","pif"
"horse","van",0,"t2","van",1,"s0475",392,"onset","dex"
"sheep","bicycle",1,"t1","sheep",1,"s0476",392,"2/3","moke"
"goldfish","plane",0,"t2","plane",1,"s0476",392,"2/3","pif"
"rabbit","boat",1,"t2","boat",1,"s0476",392,"2/3","jiv"
"mouse","train",0,"t2","train",1,"s0476",392,"2/3","dex"
"horse","motorcycle",0,"t1","horse",1,"s0476",392,"2/3","wug"
"bear","van",1,"t1","bear",1,"s0476",392,"2/3","thite"
"rabbit","motorcycle",0,"t1","rabbit",1,"s0477",56,"0/3","wug"
"bear","van",1,"t2","bear",0,"s0477",56,"0/3","jeev"
"horse","plane",0,"t1","plane",0,"s0477",56,"0/3","dex"
"mouse","boat",1,"t2","mouse",0,"s0477",56,"0/3","thite"
"sheep","train",0,"t1","train",0,"s0477",56,"0/3","pif"
"goldfish","bicycle",1,"t2","bicycle",1,"s0477",56,"0/3","moke"
"sheep","plane",0,"t1","sheep",1,"s0478",196,"rime","pif"
"horse","bicycle",0,"t1","horse",1,"s0478",196,"rime","dex"
"goldfish","van",0,"t2","van",1,"s0478",196,"rime","jeev"
"bear","boat",1,"t1","bear",1,"s0478",196,"rime","moke"
"mouse","motorcycle",1,"t2","motorcycle",1,"s0478",196,"rime","wug"
"rabbit","train",1,"t2","train",1,"s0478",196,"rime","thite"
"bear","train",0,"t1","train",0,"s0479",196,"syllables","pif"
"sheep","plane",1,"t2","sheep",0,"s0479",196,"syllables","wug"
"mouse","motorcycle",1,"t2","motorcycle",1,"s0479",196,"syllables","thite"
"horse","boat",0,"t2","horse",0,"s0479",196,"syllables","jeev"
"goldfish","bicycle",0,"t1","bicycle",0,"s0479",196,"syllables","dex"
"rabbit","van",1,"t1","rabbit",1,"s0479",196,"syllables","moke"
"goldfish","boat",0,"t2","boat",1,"s0480",126,"nonce.connective","jeev"
"sheep","bicycle",0,"t1","bicycle",0,"s0480",126,"nonce.connective","dex"
"rabbit","van",1,"t2","rabbit",0,"s0480",126,"nonce.connective","wug"
"mouse","train",1,"t2","mouse",0,"s0480",126,"nonce.connective","pif"
"bear","motorcycle",1,"t1","motorcycle",0,"s0480",126,"nonce.connective","moke"
"horse","plane",0,"t1","plane",0,"s0480",126,"nonce.connective","thite"
"horse","boat",0,"t1","boat",0,"s0481",392,"onset","wug"
"sheep","bicycle",1,"t2","sheep",0,"s0481",392,"onset","moke"
"mouse","motorcycle",1,"t1","mouse",1,"s0481",392,"onset","pif"
"goldfish","train",0,"t1","train",0,"s0481",392,"onset","jiv"
"bear","plane",0,"t2","plane",1,"s0481",392,"onset","thite"
"rabbit","van",1,"t2","rabbit",0,"s0481",392,"onset","dex"
"bear","plane",0,"t1","bear",1,"s0482",392,"2/3","thite"
"horse","bicycle",0,"t1","bicycle",0,"s0482",392,"2/3","pif"
"mouse","train",1,"t2","train",1,"s0482",392,"2/3","wug"
"sheep","van",0,"t2","van",1,"s0482",392,"2/3","moke"
"goldfish","motorcycle",1,"t2","motorcycle",1,"s0482",392,"2/3","jiv"
"rabbit","boat",1,"t1","rabbit",1,"s0482",392,"2/3","dex"
"goldfish","boat",1,"t1","goldfish",1,"s0483",126,"1/3","dex"
"sheep","bicycle",1,"t2","bicycle",1,"s0483",126,"1/3","thite"
"bear","train",0,"t1","train",0,"s0483",126,"1/3","pif"
"mouse","plane",0,"t2","plane",1,"s0483",126,"1/3","jiv"
"horse","van",1,"t1","van",0,"s0483",126,"1/3","wug"
"rabbit","motorcycle",0,"t2","motorcycle",1,"s0483",126,"1/3","moke"
"horse","bicycle",0,"t2","bicycle",1,"s0484",392,"onset","moke"
"rabbit","motorcycle",1,"t1","motorcycle",0,"s0484",392,"onset","dex"
"bear","van",1,"t1","bear",1,"s0484",392,"onset","pif"
"sheep","plane",0,"t2","plane",1,"s0484",392,"onset","thite"
"mouse","train",1,"t2","mouse",0,"s0484",392,"onset","jiv"
"goldfish","boat",0,"t1","goldfish",1,"s0484",392,"onset","wug"
"mouse","boat",1,"t2","boat",1,"s0485",56,"syllables","jeev"
"bear","bicycle",0,"t1","bear",1,"s0485",56,"syllables","moke"
"sheep","van",1,"t1","sheep",1,"s0485",56,"syllables","dex"
"horse","train",1,"t1","horse",1,"s0485",56,"syllables","pif"
"rabbit","plane",0,"t2","plane",1,"s0485",56,"syllables","wug"
"goldfish","motorcycle",0,"t2","motorcycle",1,"s0485",56,"syllables","thite"
"bear","motorcycle",0,"t1","bear",1,"s0486",392,"semantic.baseline","thite"
"horse","boat",1,"t1","horse",1,"s0486",392,"semantic.baseline","jiv"
"rabbit","bicycle",1,"t2","rabbit",0,"s0486",392,"semantic.baseline","dex"
"goldfish","van",0,"t2","goldfish",0,"s0486",392,"semantic.baseline","pif"
"mouse","plane",1,"t1","plane",0,"s0486",392,"semantic.baseline","wug"
"sheep","train",0,"t2","train",1,"s0486",392,"semantic.baseline","moke"
"rabbit","train",1,"t1","rabbit",1,"s0487",56,"3/3","jeev"
"horse","plane",0,"t2","plane",1,"s0487",56,"3/3","moke"
"bear","boat",0,"t2","boat",1,"s0487",56,"3/3","wug"
"sheep","motorcycle",0,"t1","sheep",1,"s0487",56,"3/3","pif"
"mouse","van",1,"t1","mouse",1,"s0487",56,"3/3","dex"
"goldfish","bicycle",1,"t2","bicycle",1,"s0487",56,"3/3","thite"
"bear","van",1,"t2","van",1,"s0488",56,"onset","dex"
"goldfish","motorcycle",0,"t1","motorcycle",0,"s0488",56,"onset","moke"
"horse","train",0,"t1","train",0,"s0488",56,"onset","pif"
"rabbit","bicycle",1,"t1","bicycle",0,"s0488",56,"onset","wug"
"mouse","boat",1,"t2","boat",1,"s0488",56,"onset","jiv"
"sheep","plane",0,"t2","plane",1,"s0488",56,"onset","thite"
"sheep","boat",1,"t1","sheep",1,"s0489",56,"onset","pif"
"goldfish","bicycle",1,"t2","bicycle",1,"s0489",56,"onset","thite"
"rabbit","motorcycle",0,"t2","motorcycle",1,"s0489",56,"onset","jiv"
"bear","train",0,"t2","train",1,"s0489",56,"onset","dex"
"mouse","van",1,"t1","mouse",1,"s0489",56,"onset","wug"
"horse","plane",0,"t1","horse",1,"s0489",56,"onset","moke"
"sheep","motorcycle",0,"t1","sheep",1,"s0490",196,"onset","jiv"
"horse","plane",1,"t2","plane",1,"s0490",196,"onset","pif"
"goldfish","train",1,"t2","goldfish",0,"s0490",196,"onset","wug"
"mouse","van",0,"t1","mouse",1,"s0490",196,"onset","moke"
"bear","boat",0,"t1","boat",0,"s0490",196,"onset","thite"
"rabbit","bicycle",1,"t2","rabbit",0,"s0490",196,"onset","dex"
"bear","boat",0,"t2","boat",1,"s0491",196,"rime","moke"
"mouse","plane",1,"t1","plane",0,"s0491",196,"rime","jeev"
"goldfish","train",1,"t1","train",0,"s0491",196,"rime","dex"
"horse","van",1,"t1","van",0,"s0491",196,"rime","wug"
"sheep","bicycle",0,"t2","bicycle",1,"s0491",196,"rime","thite"
"rabbit","motorcycle",0,"t2","rabbit",0,"s0491",196,"rime","pif"
"bear","van",1,"t2","bear",0,"s0492",196,"3/3","jeev"
"horse","train",0,"t2","train",1,"s0492",196,"3/3","thite"
"goldfish","boat",1,"t1","goldfish",1,"s0492",196,"3/3","dex"
"sheep","bicycle",1,"t1","sheep",1,"s0492",196,"3/3","pif"
"mouse","motorcycle",0,"t1","mouse",1,"s0492",196,"3/3","moke"
"rabbit","plane",0,"t2","rabbit",0,"s0492",196,"3/3","wug"
"sheep","van",1,"t2","van",1,"s0493",126,"2/3","pif"
"horse","train",1,"t1","horse",1,"s0493",126,"2/3","thite"
"mouse","plane",0,"t2","plane",1,"s0493",126,"2/3","jiv"
"goldfish","motorcycle",0,"t2","motorcycle",1,"s0493",126,"2/3","moke"
"rabbit","bicycle",1,"t1","bicycle",0,"s0493",126,"2/3","wug"
"bear","boat",0,"t1","boat",0,"s0493",126,"2/3","dex"
"goldfish","van",1,"t2","goldfish",0,"s0494",392,"rime","jeev"
"rabbit","motorcycle",0,"t1","motorcycle",0,"s0494",392,"rime","moke"
"sheep","train",0,"t2","train",1,"s0494",392,"rime","thite"
"horse","plane",1,"t1","horse",1,"s0494",392,"rime","pif"
"bear","boat",1,"t2","bear",0,"s0494",392,"rime","dex"
"mouse","bicycle",0,"t1","mouse",1,"s0494",392,"rime","wug"
"sheep","train",1,"t1","train",0,"s0495",196,"0/3","dex"
"bear","bicycle",1,"t1","bear",1,"s0495",196,"0/3","thite"
"goldfish","plane",0,"t2","plane",1,"s0495",196,"0/3","pif"
"mouse","van",0,"t2","van",1,"s0495",196,"0/3","moke"
"rabbit","boat",1,"t2","boat",1,"s0495",196,"0/3","wug"
"horse","motorcycle",0,"t1","motorcycle",0,"s0495",196,"0/3","jeev"
"bear","motorcycle",0,"t2","motorcycle",1,"s0496",392,"3/3","pif"
"horse","train",1,"t1","horse",1,"s0496",392,"3/3","moke"
"sheep","van",0,"t2","van",1,"s0496",392,"3/3","thite"
"goldfish","boat",1,"t2","boat",1,"s0496",392,"3/3","wug"
"rabbit","bicycle",1,"t1","rabbit",1,"s0496",392,"3/3","jiv"
"mouse","plane",0,"t1","mouse",1,"s0496",392,"3/3","dex"
"horse","van",1,"t1","horse",1,"s0497",56,"rime","thite"
"bear","plane",1,"t2","bear",0,"s0497",56,"rime","moke"
"rabbit","boat",1,"t2","rabbit",0,"s0497",56,"rime","wug"
"goldfish","motorcycle",0,"t1","motorcycle",0,"s0497",56,"rime","dex"
"mouse","bicycle",0,"t2","mouse",0,"s0497",56,"rime","pif"
"sheep","train",0,"t1","train",0,"s0497",56,"rime","jeev"
"horse","boat",1,"t1","horse",1,"s0498",126,"nonce.connective","dex"
"bear","motorcycle",1,"t2","motorcycle",1,"s0498",126,"nonce.connective","wug"
"goldfish","train",0,"t2","train",1,"s0498",126,"nonce.connective","pif"
"rabbit","bicycle",1,"t1","rabbit",1,"s0498",126,"nonce.connective","thite"
"mouse","van",0,"t1","mouse",1,"s0498",126,"nonce.connective","moke"
"sheep","plane",0,"t2","plane",1,"s0498",126,"nonce.connective","jeev"
"sheep","bicycle",1,"t2","sheep",0,"s0499",196,"3/3","moke"
"goldfish","van",1,"t2","goldfish",0,"s0499",196,"3/3","thite"
"mouse","train",1,"t1","mouse",1,"s0499",196,"3/3","wug"
"bear","plane",0,"t1","plane",0,"s0499",196,"3/3","jiv"
"rabbit","boat",0,"t2","rabbit",0,"s0499",196,"3/3","pif"
"horse","motorcycle",0,"t1","horse",1,"s0499",196,"3/3","dex"
"goldfish","train",1,"t1","goldfish",1,"s0500",56,"rime","dex"
"bear","plane",1,"t1","plane",0,"s0500",56,"rime","pif"
"horse","boat",1,"t2","boat",1,"s0500",56,"rime","wug"
"rabbit","van",0,"t2","van",1,"s0500",56,"rime","moke"
"sheep","bicycle",0,"t2","sheep",0,"s0500",56,"rime","jeev"
"mouse","motorcycle",0,"t1","motorcycle",0,"s0500",56,"rime","thite"
"mouse","bicycle",0,"t1","mouse",1,"s0501",196,"onset","pif"
"sheep","van",1,"t1","sheep",1,"s0501",196,"onset","jiv"
"rabbit","train",1,"t2","train",1,"s0501",196,"onset","wug"
"goldfish","plane",1,"t1","goldfish",1,"s0501",196,"onset","thite"
"horse","motorcycle",0,"t2","horse",0,"s0501",196,"onset","moke"
"bear","boat",0,"t2","bear",0,"s0501",196,"onset","dex"
"mouse","van",0,"t2","mouse",0,"s0502",392,"rime","jeev"
"sheep","motorcycle",1,"t1","sheep",1,"s0502",392,"rime","moke"
"goldfish","plane",0,"t2","goldfish",0,"s0502",392,"rime","pif"
"horse","train",1,"t2","train",1,"s0502",392,"rime","wug"
"bear","bicycle",0,"t1","bicycle",0,"s0502",392,"rime","thite"
"rabbit","boat",1,"t1","boat",0,"s0502",392,"rime","dex"
"horse","bicycle",1,"t2","horse",0,"s0503",126,"syllables","thite"
"bear","plane",0,"t1","plane",0,"s0503",126,"syllables","wug"
"rabbit","train",0,"t2","train",1,"s0503",126,"syllables","jeev"
"goldfish","boat",0,"t1","goldfish",1,"s0503",126,"syllables","pif"
"sheep","van",1,"t2","van",1,"s0503",126,"syllables","moke"
"mouse","motorcycle",1,"t1","mouse",1,"s0503",126,"syllables","dex"
"rabbit","motorcycle",1,"t2","rabbit",0,"s0504",56,"semantic.baseline","wug"
"goldfish","boat",0,"t1","goldfish",1,"s0504",56,"semantic.baseline","thite"
"horse","plane",1,"t1","plane",0,"s0504",56,"semantic.baseline","pif"
"mouse","train",1,"t2","mouse",0,"s0504",56,"semantic.baseline","moke"
"sheep","van",0,"t1","sheep",1,"s0504",56,"semantic.baseline","jiv"
"bear","bicycle",0,"t2","bicycle",1,"s0504",56,"semantic.baseline","dex"
"rabbit","motorcycle",1,"t2","rabbit",0,"s0505",392,"rime","jeev"
"mouse","van",0,"t2","mouse",0,"s0505",392,"rime","pif"
"bear","plane",1,"t2","bear",0,"s0505",392,"rime","wug"
"goldfish","train",0,"t1","train",0,"s0505",392,"rime","moke"
"sheep","bicycle",1,"t1","bicycle",0,"s0505",392,"rime","thite"
"horse","boat",0,"t1","boat",0,"s0505",392,"rime","dex"
"mouse","boat",1,"t1","mouse",1,"s0506",126,"semantic.baseline","wug"
"sheep","train",0,"t2","sheep",0,"s0506",126,"semantic.baseline","pif"
"bear","motorcycle",0,"t1","motorcycle",0,"s0506",126,"semantic.baseline","moke"
"goldfish","van",0,"t1","van",0,"s0506",126,"semantic.baseline","jiv"
"horse","plane",1,"t2","horse",0,"s0506",126,"semantic.baseline","thite"
"rabbit","bicycle",1,"t2","bicycle",1,"s0506",126,"semantic.baseline","dex"
"bear","plane",0,"t2","bear",0,"s0507",56,"syllables","moke"
"mouse","train",0,"t2","train",1,"s0507",56,"syllables","thite"
"goldfish","bicycle",1,"t1","bicycle",0,"s0507",56,"syllables","wug"
"rabbit","motorcycle",0,"t1","motorcycle",0,"s0507",56,"syllables","dex"
"sheep","boat",1,"t1","boat",0,"s0507",56,"syllables","jeev"
"horse","van",1,"t2","horse",0,"s0507",56,"syllables","pif"
"bear","motorcycle",0,"t2","motorcycle",1,"s0508",196,"semantic.baseline","thite"
"mouse","van",1,"t1","mouse",1,"s0508",196,"semantic.baseline","moke"
"rabbit","bicycle",1,"t2","rabbit",0,"s0508",196,"semantic.baseline","pif"
"horse","boat",0,"t2","horse",0,"s0508",196,"semantic.baseline","wug"
"goldfish","train",1,"t1","goldfish",1,"s0508",196,"semantic.baseline","jiv"
"sheep","plane",0,"t1","sheep",1,"s0508",196,"semantic.baseline","dex"
"horse","boat",0,"t2","horse",0,"s0509",56,"semantic.baseline","thite"
"bear","van",0,"t2","van",1,"s0509",56,"semantic.baseline","dex"
"sheep","bicycle",0,"t1","bicycle",0,"s0509",56,"semantic.baseline","moke"
"rabbit","train",1,"t2","rabbit",0,"s0509",56,"semantic.baseline","pif"
"goldfish","motorcycle",1,"t1","motorcycle",0,"s0509",56,"semantic.baseline","jiv"
"mouse","plane",1,"t1","mouse",1,"s0509",56,"semantic.baseline","wug"
"bear","van",1,"t2","bear",0,"s0510",196,"syllables","dex"
"sheep","bicycle",0,"t2","bicycle",1,"s0510",196,"syllables","moke"
"rabbit","plane",1,"t2","plane",1,"s0510",196,"syllables","thite"
"mouse","motorcycle",1,"t1","mouse",1,"s0510",196,"syllables","jeev"
"goldfish","train",0,"t1","goldfish",1,"s0510",196,"syllables","pif"
"horse","boat",0,"t1","boat",0,"s0510",196,"syllables","wug"
"horse","van",1,"t1","horse",1,"s0511",126,"3/3","jiv"
"goldfish","motorcycle",0,"t2","motorcycle",1,"s0511",126,"3/3","dex"
"sheep","plane",1,"t1","sheep",1,"s0511",126,"3/3","thite"
"rabbit","bicycle",0,"t1","rabbit",1,"s0511",126,"3/3","moke"
"bear","train",1,"t2","train",1,"s0511",126,"3/3","pif"
"mouse","boat",0,"t2","boat",1,"s0511",126,"3/3","wug"
"goldfish","motorcycle",0,"t1","motorcycle",0,"s0512",56,"semantic.baseline","dex"
"sheep","plane",1,"t1","plane",0,"s0512",56,"semantic.baseline","jiv"
"mouse","bicycle",0,"t2","bicycle",1,"s0512",56,"semantic.baseline","moke"
"bear","boat",0,"t1","boat",0,"s0512",56,"semantic.baseline","thite"
"horse","van",1,"t2","van",1,"s0512",56,"semantic.baseline","pif"
"rabbit","train",1,"t2","train",1,"s0512",56,"semantic.baseline","wug"
"horse","plane",0,"t2","plane",1,"s0513",392,"onset","thite"
"rabbit","train",1,"t2","rabbit",0,"s0513",392,"onset","moke"
"goldfish","van",1,"t1","goldfish",1,"s0513",392,"onset","jiv"
"mouse","boat",0,"t1","mouse",1,"s0513",392,"onset","dex"
"sheep","motorcycle",1,"t1","sheep",1,"s0513",392,"onset","pif"
"bear","bicycle",0,"t2","bear",0,"s0513",392,"onset","wug"
"sheep","van",1,"t2","van",1,"s0514",196,"0/3","moke"
"goldfish","boat",1,"t2","goldfish",0,"s0514",196,"0/3","wug"
"bear","train",0,"t1","bear",1,"s0514",196,"0/3","pif"
"rabbit","motorcycle",0,"t1","motorcycle",0,"s0514",196,"0/3","thite"
"horse","bicycle",0,"t2","bicycle",1,"s0514",196,"0/3","jiv"
"mouse","plane",1,"t1","mouse",1,"s0514",196,"0/3","dex"
"bear","train",1,"t2","train",1,"s0515",126,"rime","pif"
"rabbit","plane",0,"t1","rabbit",1,"s0515",126,"rime","jeev"
"goldfish","van",1,"t1","goldfish",1,"s0515",126,"rime","wug"
"horse","boat",0,"t2","horse",0,"s0515",126,"rime","thite"
"sheep","motorcycle",1,"t2","sheep",0,"s0515",126,"rime","dex"
"mouse","bicycle",0,"t1","bicycle",0,"s0515",126,"rime","moke"
"mouse","motorcycle",1,"t1","motorcycle",0,"s0516",56,"rime","moke"
"goldfish","train",1,"t1","goldfish",1,"s0516",56,"rime","jeev"
"bear","plane",0,"t2","bear",0,"s0516",56,"rime","pif"
"sheep","boat",0,"t2","sheep",0,"s0516",56,"rime","thite"
"horse","van",1,"t2","horse",0,"s0516",56,"rime","wug"
"rabbit","bicycle",0,"t1","rabbit",1,"s0516",56,"rime","dex"
"goldfish","plane",0,"t2","goldfish",0,"s0517",196,"0/3","thite"
"rabbit","van",1,"t1","rabbit",1,"s0517",196,"0/3","jiv"
"mouse","motorcycle",1,"t1","mouse",1,"s0517",196,"0/3","dex"
"bear","train",0,"t1","train",0,"s0517",196,"0/3","moke"
"sheep","bicycle",0,"t2","bicycle",1,"s0517",196,"0/3","pif"
"horse","boat",1,"t2","boat",1,"s0517",196,"0/3","wug"
"rabbit","van",1,"t1","van",0,"s0518",196,"3/3","thite"
"mouse","boat",1,"t1","boat",0,"s0518",196,"3/3","pif"
"bear","train",0,"t2","train",1,"s0518",196,"3/3","moke"
"horse","bicycle",1,"t2","horse",0,"s0518",196,"3/3","dex"
"goldfish","plane",0,"t1","goldfish",1,"s0518",196,"3/3","wug"
"sheep","motorcycle",0,"t2","motorcycle",1,"s0518",196,"3/3","jiv"
"bear","motorcycle",0,"t2","motorcycle",1,"s0519",196,"1/3","moke"
"sheep","plane",0,"t1","plane",0,"s0519",196,"1/3","thite"
"mouse","boat",1,"t1","mouse",1,"s0519",196,"1/3","pif"
"goldfish","bicycle",0,"t1","goldfish",1,"s0519",196,"1/3","jiv"
"horse","train",1,"t2","horse",0,"s0519",196,"1/3","dex"
"rabbit","van",1,"t2","rabbit",0,"s0519",196,"1/3","wug"
"mouse","van",1,"t1","mouse",1,"s0520",56,"semantic.baseline","moke"
"horse","boat",0,"t2","boat",1,"s0520",56,"semantic.baseline","thite"
"bear","bicycle",0,"t1","bear",1,"s0520",56,"semantic.baseline","dex"
"goldfish","train",1,"t2","goldfish",0,"s0520",56,"semantic.baseline","wug"
"sheep","motorcycle",0,"t1","motorcycle",0,"s0520",56,"semantic.baseline","jiv"
"rabbit","plane",1,"t2","plane",1,"s0520",56,"semantic.baseline","pif"
"sheep","train",0,"t1","sheep",1,"s0521",56,"rime","pif"
"horse","motorcycle",1,"t2","horse",0,"s0521",56,"rime","dex"
"goldfish","van",0,"t1","goldfish",1,"s0521",56,"rime","thite"
"mouse","boat",1,"t1","mouse",1,"s0521",56,"rime","wug"
"bear","plane",0,"t2","bear",0,"s0521",56,"rime","moke"
